iter	Accuracy	Logloss
726	0.8418421077	0.40246016
727	0.8419859512	0.4023096345
728	0.8421283202	0.4021753857
729	0.8419859512	0.4018952208
730	0.8427007452	0.4015711884
731	0.8425583762	0.4014537223
732	0.8425583762	0.4014209201
733	0.842772667	0.4012235485
734	0.8427741415	0.4009997182
735	0.8427741415	0.400931233
736	0.842915036	0.4007502277
737	0.8429869577	0.4006034137
738	0.8432012485	0.4004339331
739	0.8431293268	0.4002961311
740	0.8434140648	0.4002075013
741	0.8435564338	0.4000651545
742	0.8434140648	0.3999239044
743	0.8438411719	0.3994871223
744	0.8433421431	0.3993915008
745	0.8434111159	0.399305748
746	0.8431263778	0.3991067357
747	0.8434125903	0.398965552
748	0.8434111159	0.3987747571
749	0.8433406686	0.3987001521
750	0.8434125903	0.3985709339
751	0.8437692501	0.3984004252
752	0.8436268811	0.3983322864
753	0.8440554626	0.3981239893
754	0.8442007806	0.3979368256
755	0.8444855187	0.3978216258
756	0.8439894388	0.3977050905
757	0.8454894742	0.3973999344
758	0.8453471052	0.3972665025
759	0.8457742122	0.3971095546
760	0.8462013193	0.3969533212
761	0.8462013193	0.3968451359
762	0.8466313753	0.3966476846
763	0.8464890063	0.3965984378
764	0.8466328498	0.3964333719
765	0.8464904808	0.3963469097
766	0.8466328498	0.3962842978
767	0.8466328498	0.3961546169
768	0.8467737443	0.3959735762
769	0.8472742476	0.3957266798
770	0.8473476438	0.3954470408
771	0.8473476438	0.395329667
772	0.8476323819	0.3952325107
773	0.8482048069	0.3950132142
774	0.8483471759	0.3948465907
775	0.8483457015	0.3947055477
776	0.8485614667	0.3946303614
777	0.8488476792	0.3945210262
778	0.8488476792	0.3943974554
779	0.8489929972	0.3941094255
780	0.8489929972	0.3940974104
781	0.8490634445	0.3940499173
782	0.849207288	0.3940150287
783	0.8492087625	0.3938809488
784	0.8495639478	0.3936993607
785	0.8498501603	0.3936286925
786	0.8499235565	0.393432526
787	0.849779713	0.3932463711
788	0.8494964495	0.3931568643
789	0.8493540804	0.3931215905
790	0.8500644511	0.3929872154
791	0.8501348983	0.39281009
792	0.8504225853	0.392621722
793	0.8508496924	0.3924171899
794	0.8510639832	0.3922608998
795	0.8513501957	0.3921133381
796	0.8514206429	0.3920125011
797	0.8516349337	0.3919025197
798	0.8517039065	0.3916802403
799	0.8522044098	0.39158832
800	0.8522763315	0.3914181615
801	0.852420175	0.3911792342
802	0.8523497278	0.3909695289
803	0.8521369115	0.3907771831
804	0.8519211462	0.3906759807
805	0.8529236273	0.3905506349
806	0.8532068909	0.3902895972
807	0.8531364436	0.3901808096
808	0.8529926001	0.39004706
809	0.8533507344	0.3898531218
810	0.8533507344	0.3896976428
811	0.8534226561	0.3895226125
812	0.8533507344	0.3893815548
813	0.8532083653	0.3892009539
814	0.8533507344	0.389097354
815	0.8531349691	0.388918012
816	0.8534916289	0.3887501397
817	0.8539202104	0.3885609617
818	0.8544926355	0.3883594342
819	0.854206423	0.388252781
820	0.8540625795	0.3880156733
821	0.8541345012	0.3878229226
822	0.8544941099	0.3876463815
823	0.8554217203	0.3874373322
824	0.855781329	0.3871402002
825	0.8559956198	0.3870364153
826	0.8557094073	0.3869453554
827	0.8559236981	0.3867843325
828	0.8564946486	0.3866337219
829	0.8563522796	0.386531662
830	0.8564946486	0.3862170792
831	0.8569232302	0.3860755871
832	0.8567089394	0.3858512911
833	0.8567074649	0.3857412925
834	0.8566370176	0.3857054463
835	0.8566370176	0.3856255099
836	0.8570641247	0.385496381
837	0.8570670737	0.385416772
838	0.8574971297	0.3852612363
839	0.8567808611	0.3850775955
840	0.8572079682	0.3848436348
841	0.8574941807	0.3846434599
842	0.8576380242	0.3844524107
843	0.858137053	0.3842493351
844	0.8582075003	0.3840498024
845	0.8585656346	0.3838558344
846	0.8583498693	0.3837677268
847	0.8582779476	0.3836897062
848	0.8580636568	0.3835039132
849	0.8583513438	0.3833630415
850	0.8589208199	0.3831248457
851	0.8592789542	0.3830051125
852	0.8594917704	0.3829088861
853	0.8596370884	0.3828026395
854	0.8594227977	0.3827119502
855	0.8590661379	0.3825245319
856	0.8597794574	0.3824112624
857	0.8599233009	0.3823086512
858	0.8600641955	0.3821177939
859	0.8598499047	0.3820639562
860	0.8597809319	0.3819286928
861	0.8594242721	0.3817722322
862	0.8594961939	0.3817620454
863	0.8598558026	0.3816277126
864	0.8599996461	0.3815023028
865	0.8601405407	0.3813105296
866	0.8604267532	0.3811297635
867	0.860641044	0.3810635267
868	0.8614262853	0.3809002357
869	0.8614262853	0.380855852
870	0.8615701288	0.3806911703
871	0.8617844196	0.380542428
872	0.8619267886	0.3803843093
873	0.8617124978	0.3801994024
874	0.8617844196	0.3800658543
875	0.8617139723	0.3798915949
876	0.861928263	0.3798132318
877	0.861928263	0.3798047358
878	0.8621396049	0.3795880584
879	0.8622115266	0.3794553553
880	0.8624272919	0.3792362953
